,A,B,C,D,E,F,G,H,I,J,,outputs
Respondent,4,2,1,4,4,3,1,1,3,4,27,2.7
Respondent,4,2,1,2,2,2,1,1,1,5,21,2.1
Respondent,5,3,1,2,3,2,1,1,1,5,24,2.4
Respondent,3,3,2,3,4,1,2,1,1,4,24,2.4
Respondent,3,2,1,1,2,4,1,2,2,5,23,2.3
Respondent,4,3,1,3,3,3,1,2,1,5,26,2.6
Respondent,4,3,1,4,4,2,1,1,1,4,25,2.5
Respondent,5,1,1,1,1,2,2,1,1,4,19,1.9
Respondent,3,3,2,2,3,1,1,1,3,5,24,2.4
Respondent,4,2,1,3,2,4,2,2,1,4,25,2.5
Respondent,3,3,1,1,3,2,1,1,1,4,20,2
Respondent,3,3,1,2,2,2,1,1,1,5,21,2.1
Respondent,4,2,1,2,2,3,1,1,1,4,21,2.1
Respondent,4,3,1,4,3,3,1,1,1,5,26,2.6
Respondent,4,3,1,1,3,2,1,1,1,4,21,2.1
Respondent,5,2,1,2,4,2,1,1,1,4,23,2.3
Respondent,3,2,2,1,2,2,1,1,1,4,19,1.9
Respondent,4,3,2,4,4,3,1,1,3,4,29,2.9
Respondent,3,3,1,1,1,2,1,2,1,4,19,1.9
Respondent,4,3,1,2,1,2,2,1,1,4,21,2.1
Respondent,4,1,1,2,3,1,1,1,1,4,19,1.9
Respondent,5,2,1,2,3,2,1,1,2,4,23,2.3
Respondent,3,3,2,1,2,2,2,1,2,5,23,2.3
Respondent,3,2,1,3,1,3,1,2,1,5,22,2.2
Respondent,3,3,1,3,2,1,1,1,1,4,20,2
Respondent,4,2,1,1,4,2,2,1,1,4,22,2.2
Respondent,5,3,1,3,4,2,1,1,2,4,26,2.6
Respondent,3,3,1,2,1,3,1,2,1,5,22,2.2
Respondent,4,3,2,1,2,2,1,1,1,4,21,2.1
Respondent,4,1,1,2,3,1,2,1,2,4,21,2.1
Respondent,5,3,1,3,1,2,1,2,1,5,24,2.4
Respondent,3,2,1,3,1,4,1,1,1,4,21,2.1
Respondent,5,3,1,2,4,3,1,1,1,4,25,2.5
Respondent,5,2,1,3,4,3,1,1,1,5,26,2.6
Respondent,5,2,1,1,1,4,1,1,1,4,21,2.1
Respondent,3,3,1,2,3,3,2,1,1,4,23,2.3
Respondent,3,2,1,2,3,4,1,1,1,4,22,2.2
Respondent,4,2,1,1,2,2,1,1,1,4,19,1.9
Respondent,5,3,1,2,2,3,1,1,1,4,23,2.3
Respondent,4,3,1,2,4,3,1,1,1,5,25,2.5
Respondent,3,2,1,1,4,2,1,1,1,5,21,2.1
Respondent,3,2,1,3,1,2,1,1,1,4,19,1.9
Respondent,4,3,2,3,2,2,1,1,1,4,23,2.3
Respondent,5,2,1,3,2,3,1,2,1,4,24,2.4
Respondent,5,3,1,2,3,1,1,1,3,4,24,2.4
Respondent,3,3,1,1,3,3,1,1,1,4,21,2.1
Respondent,5,1,2,4,1,2,1,1,1,5,23,2.3
Respondent,4,2,1,1,2,2,1,2,1,5,21,2.1
Respondent,3,3,1,2,2,1,1,1,2,5,21,2.1
Respondent,5,3,1,2,3,3,2,1,1,5,26,2.6
Respondent,3,3,1,1,3,2,1,2,2,4,22,2.2
Respondent,3,2,1,4,1,2,1,1,1,5,21,2.1
Respondent,4,1,1,2,4,4,1,1,1,4,23,2.3
Respondent,5,3,1,3,1,3,1,1,1,4,23,2.3
Respondent,3,3,1,1,4,2,1,1,3,4,23,2.3
Respondent,5,2,2,3,4,4,1,1,1,4,27,2.7
Respondent,3,2,1,1,2,3,2,1,1,5,21,2.1
Respondent,5,2,1,2,2,1,1,1,1,5,21,2.1
Respondent,4,3,1,2,1,3,1,1,2,4,22,2.2
Respondent,3,3,2,1,3,2,1,1,1,4,21,2.1
Respondent,5,2,1,3,3,2,2,1,2,4,25,2.5
Respondent,4,2,1,1,4,4,1,1,1,4,23,2.3
Respondent,4,3,1,2,1,3,1,1,1,4,21,2.1
Respondent,3,3,1,3,4,2,2,1,1,5,25,2.5
Respondent,5,2,1,3,2,2,2,1,1,5,24,2.4
Respondent,3,2,1,1,2,3,1,1,1,4,19,1.9
Respondent,4,3,1,2,2,2,1,1,1,4,21,2.1
Respondent,3,3,1,2,1,2,1,1,1,4,19,1.9
Respondent,5,2,2,3,3,1,1,1,3,4,25,2.5
Respondent,4,2,1,3,1,2,1,2,1,5,22,2.2
Respondent,3,3,1,3,3,3,1,1,1,5,24,2.4
Respondent,5,3,1,1,1,2,1,1,2,4,21,2.1
Respondent,3,1,1,2,2,1,1,1,1,4,17,1.7
Respondent,4,2,1,1,4,3,1,2,1,5,24,2.4
Respondent,3,3,2,2,1,2,1,1,1,5,21,2.1
Respondent,4,3,1,2,4,4,1,1,1,4,25,2.5
Respondent,3,2,1,1,2,3,2,1,1,5,21,2.1
Respondent,5,2,1,2,2,2,1,1,2,4,22,2.2
Respondent,3,3,1,3,3,2,1,1,1,4,22,2.2
Respondent,5,2,2,1,3,3,2,1,1,5,25,2.5
Respondent,3,3,2,3,1,2,1,1,2,5,23,2.3
Respondent,3,3,1,2,2,1,1,1,2,5,21,2.1
Respondent,4,3,1,3,2,3,1,1,1,5,24,2.4
Respondent,3,2,1,3,2,2,2,1,1,4,21,2.1
Respondent,3,3,1,1,3,2,1,1,1,5,21,2.1
Respondent,4,3,1,1,3,3,1,1,1,4,22,2.2
Respondent,5,2,1,3,3,2,2,2,1,4,25,2.5
Respondent,3,2,1,2,1,2,1,1,1,4,18,1.8
Respondent,5,3,2,3,2,1,1,1,1,5,24,2.4
Respondent,3,3,1,1,4,4,1,2,3,4,26,2.6
Respondent,5,2,1,2,4,3,1,1,1,4,24,2.4
Respondent,3,1,1,1,1,2,1,1,1,4,16,1.6
Respondent,3,3,2,2,2,4,1,1,1,4,23,2.3
Respondent,5,3,1,3,2,1,2,1,1,4,23,2.3
Respondent,3,2,1,4,3,2,1,2,2,5,25,2.5
Respondent,5,3,1,2,3,2,2,1,2,4,25,2.5
Respondent,3,3,1,1,2,1,1,1,1,5,19,1.9
Respondent,3,2,1,3,2,3,1,1,1,5,22,2.2
Respondent,4,2,1,1,4,3,1,1,1,4,22,2.2
Respondent,4,3,1,2,4,2,1,1,2,4,24,2.4
Respondent,3,3,1,4,1,2,1,1,1,4,21,2.1
Respondent,5,2,1,2,2,2,1,1,1,5,22,2.2
Respondent,5,3,1,2,2,3,1,1,1,4,23,2.3
Respondent,3,3,1,1,3,2,2,2,1,5,23,2.3
Respondent,5,2,1,3,3,2,1,1,1,4,23,2.3
Respondent,3,3,1,2,2,3,1,1,1,4,21,2.1
Respondent,3,3,1,3,2,2,2,1,1,5,23,2.3
Respondent,4,3,2,1,1,1,1,1,2,5,21,2.1
Respondent,4,2,1,2,2,3,1,1,2,4,22,2.2
Respondent,3,1,1,2,3,3,1,2,1,4,21,2.1
Respondent,5,3,1,3,2,1,1,1,1,4,22,2.2
Respondent,3,3,1,1,1,2,1,1,1,5,19,1.9
Respondent,5,3,1,2,2,3,1,1,2,4,24,2.4
Respondent,4,2,1,3,4,2,1,1,1,4,23,2.3
Respondent,3,2,1,1,4,4,1,1,1,5,23,2.3
Respondent,3,3,1,2,2,3,2,1,1,4,22,2.2
Respondent,3,3,1,3,2,2,1,1,1,4,21,2.1





